OSN,LAT,LONG,ALT,SDMT,BIO_N,BIO_C,BRG_N,BRG_C,ACANTHACEA,AIZOACEAE,AMARANTHAC,LANNEA_SCL,ILEX_MITIS,AMBROSIEAE,ARTEMISIA,STOEBE,SENECIO,TARCHONANT,AVICENNIA,BALANITES,CAESALPINI,CAPPARIDAC,CLUSIACEAE,COMBRETACE,CONNARACEA,AFROCRANIA,CUPRESSACE,CYPERACEAE,DIDIERACEA,DILLENIACE,EPHEDRA,ERICACEAE,ALCHORNEA,BRIDELIA,CHROZOPHOR,DRYPETES_T,MACARANGA_,FLUEGGEA_T,TETRORCHID,UAPACA,CAMPYLOSTE,SACOGLOTTI,HYMENOCARD,HYPERICUM,ICACINACEA,IRVINGIA_T,HUGONIA,LOBELIA,ANTHOCLEIS,NUXIA_TYPE,MALPIGHIAC,MELIACEAE,ACACIA,CALPOCALYX,DICHROSTAC,ENTADA_TYP,PARKIA,MORACEAE,MYRICA,PYCNANTHUS,MYRSINE_AF,RAPANEA,SYZYGIUM_T,NYCTAGINAC,CAMPYLOSPE,LOPHIRA,SAUVAGESIA,OLEA,BORASSUS_H,ELAEIS_GUI,POACEAE,PODOCARPUS,PROTEACEAE,RHAMNACEAE,RHIZOPHORA,ALCHEMILLA,CLIFFORTIA,HAGENIA_AB,PRUNUS,RUBUS,ANTHOSPERM,IXORA_TYPE,MITRACARPU,ZANTHOXYLU,SALVADORA,ALLOPHYLUS,BLIGHIA,DODONAEA,SAPOTACEAE,COLA_TYPE,TAMARIX,CHRISTIANA,TILIA_TYPE,TRIBULUS,CELTIS,HOLOPTELEA,URTICACEAE,FAGONIA,ZYGOPHYLLU,MICRODESMI,TYPHA,ASTERACEAE,CONYZA_TYP,ACALYPHA,NYMPHAEA,EUPHORBIA_,RHUS_TYPE,PHOENIX,EUCALYPTUS,PINUS,HELICHRYSU,SPERMACOCE,FABACEAE_U,PLANTAGO,EUPHORBIAC,EUCLEA,CICHORIEAE,RUBIACEAE_,INDIGOFERA,TREMA_TYPE,CARYOPHYLL,PULICARIA_,RUMEX,BRASSICACE,APIACEAE,LAMIACEAE,PTERIDOPHY
1,22.243,59.773,6,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0,0,49.15693904,0,0,0,0.324254215,0,0,0,0,0,0.064850843,0,0,0,0,0,0,11.67315175,0,0,0.453955901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194552529,0,0,9.143968872,0,0,0.129701686,0,0,0,0,0.064850843,0,0,0,0,0,0,12.32166018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324254215,0,0,0.648508431,0,0,0.583657588,0,0,0,0,2.33463035,0,0.064850843,0,10.2464332,0,0,1.232166018,0,0,0,0.194552529,0,0,0,0.324254215,0,0,0.389105058,0,0,0,0,0,0,0,0.129701686,0,0
2,22.503,59.716,1,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0,0,23.46368715,0,0,0,0,0,0,0,0.279329609,0,0,0,0,0,0,0,0,14.52513966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.027932961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8603352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558659218,0,0,0,0,0,0.837988827,0,0,0.837988827,0.279329609,10.61452514,0,0,0,17.59776536,0,0,0.558659218,0,0,0,0.279329609,0,0,0,0,0,0,0.279329609,0,0,0,0,0,0,0,0,0,0
3,22.494,59.726,0,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0.652173913,0,27.39130435,0,0,0,0.434782609,0,0,0,0.217391304,0,0.217391304,0,0,0,0,0,0,10,0,0,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434782609,0,0,0.217391304,0,0,0.217391304,0,0,0.869565217,0,10,0,0,0,30.65217391,0,0,2.608695652,0,0,0,0.217391304,0,0,0,0.217391304,0,0,0.434782609,0,0,0,0,0,0.434782609,0,0.217391304,0,0.217391304
4,22.494,59.726,0,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0,0,10.16949153,0,0,0,1.694915254,0,0,0,0.564971751,0,0,0.564971751,0,0,0,0,0,7.344632768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129943503,0,0,9.039548023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.11299435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564971751,0,0,0.564971751,0,0,1.129943503,0,0,0,0,0,0,0.564971751,0,12.99435028,0,0,4.519774011,0,0,0,0,0,0,0.564971751,0.564971751,0,0,0,0,0,0,0,7.90960452,0,0,0,0,0
5,22.492,59.739,0,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0,0,17.24137931,0,0,0,6.896551724,0,0,0,0,0,0,0,0,0,0,0,0,6.896551724,0,0,3.448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.34482759,0,0,0,0,0,0,0,0,0,0,3.448275862,0,0,0,0,0,0,0,20.68965517,0,0,0,0,0
6,22.491,59.738,0,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0.787401575,0,26.77165354,0,0,0,5.511811024,0,0,0,4.724409449,0,0,0,0,0,0,0,0,21.25984252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787401575,0,0,1.57480315,0,0,0,0,0,0,0,0,0,0,0,0.787401575,0,0,23.62204724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787401575,0,0,0,0,0,0,0,0,0,0,2.362204724,0,0,0,4.724409449,0,0,3.149606299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.149606299,0,0,0,0,0
7,22.491,59.738,0,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0.19193858,0,36.08445298,0,0,0,3.646833013,0,0,0,3.262955854,0,0,0,0,0,0,0,0,18.42610365,0,0,1.535508637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.535508637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35508637,0.383877159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767754319,0,0,1.535508637,0,0,1.151631478,0,0,0,0,7.677543186,0,0,0,2.879078695,0,0,2.687140115,0,0,0,0,0,0,0,0.575815739,0,0,0.575815739,0,0,0,0,0,0.767754319,0.575815739,0.383877159,0,0
8,22.491,59.738,0,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0,0,24.07407407,0,0,0,5.555555556,0,0,0,6.296296296,0,0,0,0,0.37037037,0,0,0,8.518518519,0,0,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.481481481,0,0,0.740740741,0,0,1.481481481,0,0,0.37037037,0,3.703703704,0,0,0,24.81481481,0,0,1.111111111,0,0,0,0.37037037,0,0,0,0,0,0,0.37037037,0,0,0,0,0,0.37037037,0,0,0,0.740740741
9,22.271,58.92,319,Surface,Deserts and Xeric Shrublands,13,Arabian Desert and East Sahero-Arabian xeric shrublands,3,0.31152648,0,22.74143302,0,0,0,2.492211838,0,0,0,1.557632399,0,0,0,0,0,0,0,0,6.542056075,0,0,1.869158879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.492211838,0,0,3.738317757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.66043614,0,0,1.557632399,0,0,0,0,0,0,0,0,0,0,0,0,0,1.557632399,0,0,1.557632399,0,0,1.557632399,0,0,0,0,0.62305296,0,0,0,13.39563863,0,0,0.62305296,0,0,0,0,0,0,0,0,0,0,3.115264798,0,0,0,0,0,1.869158879,0,0,0,3.738317757
10,22.486,59.745,0,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0,0,23.89380531,0,0,0,3.244837758,0,0,0,3.83480826,0,0,0,0,0,0,0,0,11.79941003,0,0,0.294985251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294985251,0,0,0.884955752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.28908555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884955752,0,0,0,0,0,1.474926254,0,0,0,0,2.654867257,0,0,0,28.90855457,0,0,1.179941003,0,0,0,0.884955752,0,0,0,0,0,0,1.179941003,0,0,0,0,0,0,0,0.294985251,0,0
